player_name,position,team,projected_points,adp
Miami Dolphins,DEF,MIA,62.0,299.0
Will Kacmarek,TE,MIA,61.6,999.0
Elijah Sarratt,WR,BAL,61.4,229.2
Riley Patterson,K,MIA,61.0,267.0
Malik Benson,WR,LV,60.6,999.0
Isaiah Davis,RB,NYJ,60.5,999.0
Kimani Vidal,RB,LAC,60.0,237.8
Jordan James,RB,SF,59.7,999.0
Josh Cameron,WR,JAX,59.6,999.0
Noah Gray,TE,KC,59.1,999.0
David Njoku,TE,LAC,58.0,207.7
Justin Joly,TE,DEN,58.0,999.0
Joe Royer,TE,CLE,57.8,683.0
Mack Hollins,WR,NE,57.6,999.0
Zavion Thomas,WR,CHI,57.2,999.0
James Conner,RB,ARI,57.2,233.0
Elic Ayomanor,WR,TEN,56.7,241.5
Jaydon Blue,RB,DAL,56.6,228.0
Emanuel Wilson,RB,SEA,56.5,250.3
Chris Brooks,RB,GB,56.3,999.0
LeQuint Allen,RB,JAX,56.2,999.0
Max Klare,TE,LAR,56.1,248.8
Ty Johnson,RB,BUF,55.8,999.0
Carson Beck,QB,ARI,54.92,999.0
Isiah Pacheco,RB,DET,53.6,186.2
Jack Endries,TE,CIN,53.3,999.0
Sean Tucker,RB,TB,52.5,243.9
Braelon Allen,RB,NYJ,52.2,204.5
Tank Dell,WR,HOU,51.9,177.9
MarShawn Lloyd,RB,GB,51.8,173.9
Brandon Aiyuk,WR,SF,49.6,251.4
John Metchie,WR,CAR,48.8,999.0
Greg Dortch,WR,DET,48.1,999.0
Christian Kirk,WR,SF,46.4,241.7
Kaytron Allen,RB,WAS,45.9,239.1
Jaylen Wright,RB,MIA,44.1,247.9
Kaelon Black,RB,SF,42.3,214.0
Elijah Higgins,TE,ARI,41.9,999.0
Konata Mumpfield,WR,LAR,41.7,999.0
Luke Musgrave,TE,GB,40.6,999.0
John Michael Gyllenborg,TE,KC,40.4,611.2
Daniel Bellinger,TE,TEN,40.1,999.0
Oscar Delp,TE,NO,39.4,999.0
CJ Daniels,WR,LAR,39.3,999.0
Kirk Cousins,QB,LV,39.16,999.0
Brenen Thompson,WR,LAC,39.0,999.0
Rasheen Ali,RB,BAL,38.7,999.0
Bryce Lance,WR,NO,38.7,999.0
Tez Johnson,WR,TB,38.4,999.0
Charlie Kolar,TE,LAC,38.4,999.0
Emari Demercado,RB,KC,38.3,999.0
Demarcus Robinson,WR,SF,38.1,999.0
Jaylin Lane,WR,WAS,37.7,999.0
Xavier Hutchinson,WR,HOU,36.7,999.0
Zach Ertz,TE,,36.7,999.0
Noah Fant,TE,NO,36.6,999.0
Seth McGowan,RB,IND,36.3,999.0
Trevor Etienne,RB,CAR,36.2,999.0
Brandon McManus,K,,36.0,680.6
Zane Gonzalez,K,,36.0,999.0
Jonnu Smith,TE,GB,35.9,999.0
KeAndre Lambert-Smith,WR,LAC,35.5,999.0
Treylon Burks,WR,WAS,34.8,999.0
Justin Fields,QB,KC,34.72,999.0
Jalen Tolbert,WR,MIA,34.2,999.0
Jake Moody,K,,34.0,333.0
Charlie Smyth,K,NO,34.0,269.0
Jalen Royals,WR,KC,33.9,999.0
Will Shipley,RB,PHI,33.8,999.0
Michael Trigg,TE,DAL,33.8,249.7
Malik Davis,RB,DAL,33.7,999.0
Sam Roush,TE,CHI,33.5,999.0
Cade Stover,TE,HOU,33.2,999.0
Austin Hooper,TE,ATL,33.2,430.0
Eli Raridon,TE,NE,33.0,999.0
Tyler Higbee,TE,LAR,32.9,999.0
Tanner Koziol,TE,JAX,32.8,999.0
Joshua Palmer,WR,BUF,32.6,999.0
Kevin Coleman,WR,MIA,32.4,999.0
