player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Denzel Boston,WR,CLE,146.05,4,9.666469107176631,150.2,167.3,150.2,145.0,130.0,261.5
Jacory Croskey-Merritt,RB,WAS,143.89499999999998,4,14.638454779563766,103.8,114.1,103.8,113.0,131.8,271.7
Harrison Mevis,K,LAR,143.44,4,20.756210315630035,157.5,150.1,157.5,226.0,145.1,175.0
Jake Bates,K,DET,142.93,4,23.95311183680873,158.6,139.5,158.6,215.0,146.6,175.0
Jalen McMillan,WR,TB,142.41500000000002,4,12.836038784090148,163.9,209.4,163.9,165.0,128.6,260.2
Eddy Pineiro,K,SF,141.81,4,24.084907445673664,160.6,194.1,160.6,205.0,145.4,174.4
Calvin Ridley,WR,TEN,141.8,4,33.47069203049139,172.5,253.2,172.5,196.0,111.9,244.8
Cam Little,K,JAX,141.235,4,25.372430411767812,143.8,135.6,143.8,197.0,145.2,180.0
De'Zhaun Stribling,WR,SF,140.7,4,27.45452725265301,107.5,138.6,107.5,138.0,136.0,276.6
Harrison Butker,K,KC,139.97,4,22.867609552960857,165.4,176.1,165.4,245.0,145.0,170.2
Evan McPherson,K,CIN,139.865,4,23.536033898400696,166.5,181.1,166.5,218.0,145.2,177.0
Blake Corum,RB,LAR,139.78,4,11.643212615081794,100.1,103.8,100.1,109.0,129.7,272.0
Tyler Loop,K,BAL,139.525,4,21.55382313341804,159.4,179.5,159.4,204.0,134.9,175.9
Will Reichard,K,MIN,139.35500000000002,4,19.599175790493504,164.0,171.1,164.0,269.0,144.9,174.5
Keenan Allen,WR,IND,139.07,4,18.808036402913874,157.3,199.1,157.3,191.0,131.7,260.5
Chase McLaughlin,K,TB,138.93,4,20.139800561740095,168.9,222.1,168.9,225.0,140.2,167.6
Tre Tucker,WR,LV,138.43,4,9.90150156962737,159.0,202.3,159.0,152.0,126.8,240.1
Wil Lutz,K,DEN,137.25,4,22.216266563038893,169.6,253.3,169.6,267.0,144.9,171.6
Cairo Santos,K,CHI,135.655,4,22.355551696763527,164.8,232.5,164.8,216.0,143.7,175.8
Pat Freiermuth,TE,PIT,134.13,3,15.358633836814178,169.5,239.9,169.5,228.0,,
Chig Okonkwo,TE,WAS,133.575,4,9.683265203432153,160.1,188.8,160.1,150.0,130.9,195.7
Greg Dulcich,TE,MIA,133.52,3,17.35062342780032,170.2,229.7,170.2,237.0,,
Blake Grupe,K,IND,133.44,3,26.89357791989257,,,,389.0,,
Jalen Nailor,WR,LV,132.8,4,4.088221903631618,160.2,185.6,160.2,186.0,115.5,241.9
Andy Borregales,K,NE,132.69,4,24.089889303744563,165.6,156.7,165.6,229.0,141.8,168.1
Kenyon Sadiq,TE,NYJ,132.635,4,20.577104388130024,161.5,154.0,161.5,210.0,125.8,204.0
Jauan Jennings,WR,MIN,132.035,4,13.963114206126555,166.4,198.4,166.4,166.0,114.4,250.9
Trey Smack,K,GB,131.175,4,35.09483283428868,166.6,212.8,166.6,361.0,140.9,175.4
Chris Boswell,K,PIT,131.17000000000002,4,18.671428261740804,162.7,158.5,162.7,251.0,141.3,168.7
Zach Charbonnet,RB,SEA,128.54,4,33.18182635118206,144.5,148.1,144.5,147.0,70.9,212.6
Omar Cooper,WR,NYJ,128.5,4,13.209097874823497,166.9,193.7,166.9,174.0,112.3,262.6
Jerry Jeudy,WR,CLE,127.8,4,18.17966629690069,164.6,191.4,164.6,161.0,115.7,245.1
Rashod Bateman,WR,BAL,127.2,3,16.793231771560038,168.6,232.7,168.6,219.0,,
AJ Barner,TE,SEA,126.8,3,9.780395356698698,163.8,183.9,163.8,194.0,,
Terrance Ferguson,TE,LAR,125.88,4,19.86017119765084,165.8,206.5,165.8,200.0,116.4,209.6
Kayshon Boutte,WR,HOU,125.2,3,12.961161213409849,164.8,223.7,164.8,170.0,,
Woody Marks,RB,HOU,124.805,4,23.54187103156133,137.2,160.2,137.2,133.0,124.1,263.3
Tyler Bass,K,BUF,123.58,3,21.001399953336442,169.2,299.0,169.2,359.0,,
Houston Texans,DEF,HOU,122.495,4,35.4836585627807,116.6,97.6,116.6,153.0,112.3,139.8
Cade Otton,TE,TB,122.3,3,14.625581469922256,173.3,234.1,173.3,233.0,,
Ryan Flournoy,WR,DAL,121.2,3,19.58124868337053,169.5,230.7,169.5,177.0,,
Nick Folk,K,ATL,121.07,3,24.02973782628516,173.6,285.5,173.6,379.0,,
Tua Tagovailoa,QB,ATL,120.91,3,23.985947969592527,236.5,236.5,236.5,270.0,,
Jordyn Tyson,WR,NO,120.4,4,29.329759062540333,124.7,90.7,124.7,132.0,109.0,225.3
Denver Broncos,DEF,DEN,120.12,4,34.42805638816496,124.5,118.5,124.5,162.0,104.7,133.9
Jake Elliott,K,PHI,119.8,3,24.690348991728193,170.7,216.1,170.7,355.0,,
Michael Penix,QB,ATL,119.02,3,24.030083922727638,227.9,227.9,227.9,279.0,,
Malik Washington,WR,MIA,117.9,3,10.056674400615748,159.4,174.6,159.4,184.0,,
Darren Waller,TE,CAR,115.83,3,5.733378875788106,169.2,,169.2,306.0,,
Seattle Seahawks,DEF,SEA,115.34,4,35.57239941302807,122.9,104.7,122.9,169.0,102.2,132.2
