player_name,position,team,projected_points,adp,ecr
Kyle Juszczyk,RB,SF,54.65,,384
Demarcus Robinson,WR,SF,52.93,,395
Cyrus Allen,WR,KC,52.9,158.7,265
Josh Oliver,TE,MIN,52.12,,467
Daniel Bellinger,TE,TEN,51.97,,426
Austin Hooper,TE,ATL,51.89,,423
Tommy Tremble,TE,CAR,51.35,,407
Emanuel Wilson,RB,SEA,51.27,,234
Noah Gray,TE,KC,51.0,,350
Jaylen Wright,RB,MIA,50.74,172.2,242
Kyle Williams,WR,NE,50.64,,292
Kendrick Bourne,WR,ARI,50.24,,343
Jawhar Jordan,RB,HOU,50.14,,365
Luke McCaffrey,WR,WAS,49.9,,344
Eli Stowers,TE,PHI,49.57,,290
Jonah Coleman,RB,DEN,49.41,150.2,148
Elijah Arroyo,TE,SEA,48.18,,326
Adam Trautman,TE,DEN,47.89,,496
Kirk Cousins,QB,LV,47.02,,284
Dyami Brown,WR,WAS,46.72,,429
Eli Raridon,TE,NE,46.49,,335
Kalif Raymond,WR,CHI,46.39,,375
Ja'Tavion Sanders,TE,CAR,46.18,,357
Elijah Higgins,TE,ARI,45.99,,422
Treylon Burks,WR,WAS,44.74,,356
Marlin Klein,TE,HOU,44.36,,443
Jake Tonges,TE,SF,44.24,171.5,310
LeQuint Allen Jr.,RB,JAX,43.83,,264
Luke Musgrave,TE,GB,43.45,,400
Isaiah Davis,RB,NYJ,43.38,,257
John Bates,TE,WAS,42.39,,421
Chris Brooks,RB,GB,42.14,,273
Jeremy Ruckert,TE,NYJ,41.88,,508
George Holani,RB,SEA,41.13,167.7,240
Colbie Young,WR,CIN,39.47,,381
Bryce Lance,WR,NO,39.46,,328
Jerome Ford,RB,WAS,38.0,,315
Nate Boerkircher,TE,JAX,37.22,,507
Ray Davis,RB,BUF,35.86,166.6,187
DJ Giddens,RB,IND,35.84,,286
Emmett Johnson,RB,KC,35.14,161.8,181
Frank Gore Jr.,RB,BUF,35.1,,494
Zavion Thomas,WR,CHI,34.88,,380
Ollie Gordon II,RB,MIA,34.81,,256
Jaylin Lane,WR,WAS,34.66,,396
Roschon Johnson,RB,CHI,34.4,,398
Drew Sample,TE,CIN,33.86,,495
Elijah Sarratt,WR,BAL,33.54,,274
Cade Stover,TE,HOU,33.11,,479
Austin Ekeler,RB,FA,33.1,,435
Brashard Smith,RB,KC,32.55,,294
Sean Tucker,RB,TB,32.11,170.1,202
Olamide Zaccheaus,WR,ATL,31.98,,340
Jordan Whittington,WR,LAR,31.21,,413
Kevin Coleman Jr.,WR,MIA,31.08,,377
Luke Schoonmaker,TE,DAL,30.98,,512
Ben Sinnott,TE,WAS,30.85,,418
Isaiah Bond,WR,CLE,30.73,,302
Jackson Hawes,TE,BUF,30.64,,487
Tanner Hudson,TE,CIN,29.34,,510
Konata Mumpfield,WR,LAR,29.18,,338
Roman Wilson,WR,PIT,28.83,,366
Skyler Bell,WR,BUF,28.35,,303
Will Shipley,RB,PHI,27.59,,325
Brenen Thompson,WR,LAC,27.45,,349
Isaiah Williams,WR,NYJ,27.4,,445
Jam Miller,RB,NE,25.0,,412
Hunter Luepke,RB,DAL,24.96,,433
Zach Ertz,TE,FA,24.5,,469
Odell Beckham Jr.,WR,NYG,24.05,,428
Durham Smythe,TE,BAL,23.51,,505
Ty Simpson,QB,LAR,23.37,,370
Oscar Delp,TE,NO,23.29,,323
Carson Beck,QB,ARI,23.22,,332
Seth McGowan,RB,IND,23.12,,287
J.J. McCarthy,QB,MIN,22.47,,337
Kendre Miller,RB,NO,22.41,174.0,291
Dameon Pierce,RB,PHI,22.1,,434
Kaytron Allen,RB,WAS,21.48,172.1,230
Tez Johnson,WR,TB,21.38,,339
Mitchell Evans,TE,CAR,21.15,,425
Jimmy Horn Jr.,WR,CAR,21.14,,480
Max Klare,TE,LAR,20.32,,351
Demond Claiborne,RB,MIN,20.05,171.8,259
Nicholas Singleton,RB,TEN,19.74,169.1,208
Devin Neal,RB,NO,19.25,171.5,285
Justin Joly,TE,DEN,19.02,,367
Jalen Royals,WR,KC,18.36,,341
Tahj Brooks,RB,CIN,18.24,,321
Tanner Koziol,TE,JAX,18.15,,470
Marcus Mariota,QB,WAS,18.01,,410
Sam Roush,TE,CHI,17.87,,500
KeAndre Lambert-Smith,WR,LAC,17.76,,509
Nick Westbrook-Ikhine,WR,IND,17.15,,391
Phil Mafah,RB,DAL,16.8,,393
Michael Burton,RB,CLE,16.55,,504
Alec Ingold,RB,LAC,16.4,,446
Dont'e Thornton Jr.,WR,LV,16.02,,382
Isaac Guerendo,RB,SF,14.85,,314
Trevor Etienne,RB,CAR,14.79,,307
Greg Dortch,WR,DET,14.12,,430
Riley Leonard,QB,IND,12.42,,463
Justin Fields,QB,KC,12.06,,364
Barion Brown,WR,NO,11.84,,414
Jameis Winston,QB,NYG,11.71,,406
Quinn Ewers,QB,MIA,11.57,,477
Tyson Bagent,QB,CHI,11.48,,506
Jake Browning,QB,TB,11.25,,490
Tyrod Taylor,QB,GB,10.86,,488
Mac Jones,QB,SF,10.54,,354
Adam Prentice,RB,DEN,10.46,,472
Trey Lance,QB,LAC,10.41,,517
Anthony Richardson Sr.,QB,IND,10.36,,385
Joe Flacco,QB,CIN,10.34,,386
Xavier Smith,WR,LAR,9.86,,475
Mitch Tinsley,WR,CIN,9.74,,458
Gardner Minshew II,QB,ARI,9.71,,501
Max Bredeson,RB,MIN,9.61,,468
CJ Daniels,WR,LAR,9.61,,392
Cade Klubnik,QB,NYJ,9.38,,417
Drew Allar,QB,PIT,9.36,,483
Tyler Conklin,TE,DET,8.91,,511
Tai Felton,WR,MIN,8.79,,442
Joe Milton III,QB,DAL,8.54,,420
Reggie Virgil,WR,ARI,8.07,,499
Reggie Gilliam,RB,NE,7.94,,449
Patrick Ricard,RB,NYG,7.34,,460
Kaleb Johnson,RB,PIT,4.85,171.8,305
British Brooks,RB,HOU,2.36,,478
Jalen Reagor,WR,MIA,1.76,,492
Dylan Laube,RB,LV,0.0,,454
Tyler Badie,RB,DEN,0.0,,459
Bam Knight,RB,ARI,0.0,,346
Trey Benson,RB,ARI,0.0,,301
Jacob Saylors,RB,DET,0.0,,485
Zavier Scott,RB,MIN,0.0,,444
Rasheen Ali,RB,BAL,0.0,,415
Josh Cameron,WR,JAX,0.0,,514
Josh Williams,RB,TB,0.0,,453
Kene Nwangwu,RB,NYJ,0.0,,498
Zane Gonzalez,K,FA,0.0,,374
Spencer Shrader,K,IND,0.0,,427
Brandon McManus,K,FA,0.0,,403
Jake Moody,K,FA,0.0,,440
Jacob Cowing,WR,SF,0.0,,476
Devin Singletary,RB,NYG,0.0,,299
