RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
106,Stefon Diggs,WR,WAS,7,185,16,118.1,WR47,,,,,72,828,5,11.5,4.2/6.0,,,,,,,210,,,,,85,1013,4,11.9,5.0/6.0,,,,,,,6,11.60
107,Kyler Murray,QB,MIN,6,278,7,126.8,QB18,6.1,78,474,3,,,,,,3614,22,10,68%,29.6,10.6,78,6.0,29,173,1,,,,,,962,6,3,68%,32.2,8.7,6,11.70
108,Jordan Love,QB,GB,11,284,19,133.9,QB19,4.1,49,199,1,,,,,,4249,27,10,65%,31.8,11.8,235,4.2,47,199,,,,,,,3381,23,6,66%,29.3,11.6,6,11.80
109,Kenneth Gainwell,RB,TB,10,187,18,98.6,RB36,4.5,116,522,4,55,381,3,6.9,3.2/4.1,,,,,,,221,4.7,114,537,5,73,486,3,6.7,4.3/5.0,,,,,,,6,11.90
110,Harold Fannin Jr.,TE,CLE,11,198,2,80.6,TE8,2.8,7,19,,87,855,4,9.8,5.1/7.5,,,,,,,186,1.9,7,13,1,72,731,6,10.2,4.5/6.7,,,,,,,6,12.00
111,Mark Andrews,TE,BAL,13,199,3,124.4,TE9,3.4,9,28,1,66,703,9,10.7,3.9/5.4,,,,,,,131,4.8,10,48,1,48,422,5,8.8,2.8/4.1,,,,,,,6,12.10
112,Wan'dale Robinson,WR,TEN,9,159,7,102.6,WR48,5.4,7,37,,68,692,3,10.2,4.0/6.1,,,,,,,218,1.7,3,5,,92,1014,4,11.0,5.8/8.8,,,,,,,6,12.20
113,Matthew Golden,WR,GB,11,161,12,114.5,WR49,6.6,7,45,,58,747,4,12.9,3.4/5.8,,,,,,,70,4.9,10,49,,29,361,,12.4,2.1/3.1,,,,,,,6,12.30
114,George Kittle,TE,SF,8,170,27,100,TE10,,,,,67,732,5,10.9,4.2/5.6,,,,,,,162,-3.0,1,-3,,57,628,7,11.0,5.2/6.3,,,,,,,6,12.40
115,Jordan Mason,RB,MIN,6,140,10,113.6,RB37,4.5,174,780,6,16,100,,6.2,0.9/1.3,,,,,,,129,4.8,159,758,6,14,51,,3.6,0.9/1.0,,,,,,,6,12.50
