player_name,position,team,projected_points,adp
Daniel Bellinger,TE,TEN,33.0,296.0
Cedric Tillman,WR,CLE,32.6,282.0
Nick Westbrook-Ikhine,WR,IND,32.2,324.0
Adam Trautman,TE,DEN,31.4,0.0
Luke Schoonmaker,TE,DAL,31.4,0.0
Marquise Brown,WR,PHI,29.1,166.0
Cade Stover,TE,HOU,27.2,0.0
Austin Hooper,TE,ATL,27.2,265.0
Malik Davis,RB,DAL,26.7,297.5
Demond Claiborne,RB,MIN,26.6,211.0
Tanner Hudson,TE,CIN,26.3,0.0
Dyami Brown,WR,WAS,26.3,280.0
Konata Mumpfield,WR,LAR,26.1,251.0
George Holani,RB,SEA,26.1,215.0
Emanuel Wilson,RB,SEA,25.6,213.5
Tez Johnson,WR,TB,24.7,389.0
Brock Wright,TE,DET,24.3,0.0
Skyler Bell,WR,BUF,24.2,329.0
Davis Allen,TE,LAR,23.2,0.0
Luke Farrell,TE,SF,23.1,0.0
Nicholas Singleton,RB,TEN,21.7,207.0
Adam Randall,RB,BAL,21.5,302.5
Tommy Tremble,TE,CAR,21.2,258.0
Trey Benson,RB,ARI,20.0,355.0
Ashton Dulin,WR,IND,19.7,250.0
John Bates,TE,WAS,18.9,0.0
Kaleb Johnson,RB,PIT,18.2,367.0
Erick All Jr.,TE,CIN,17.3,271.0
Kaytron Allen,RB,WAS,16.4,183.0
Nate Boerkircher,TE,JAX,15.7,
Barion Brown,WR,NO,15.4,
Brenen Thompson,WR,LAC,14.6,305.0
Devin Singletary,RB,NYG,13.6,402.0
Trevor Etienne,RB,CAR,13.1,288.0
Demarcus Robinson,WR,SF,12.1,266.0
Oscar Delp,TE,NO,11.5,381.0
Jahdae Walker,WR,CHI,11.0,280.0
Brashard Smith,RB,KC,9.4,409.0
Will Shipley,RB,PHI,7.9,290.0
Jarquez Hunter,RB,LAR,7.0,278.0
Phil Mafah,RB,DAL,6.7,323.0
Jacob Cowing,WR,SF,4.7,315.0
Dylan Laube,RB,LV,4.2,0.0
Audric Estime,RB,NO,0.0,320.0
